trial_type	onset	duration	response_time	same_or_diff	response	correct	env_type	vid_file
instructions	0.0	5.991296699998202						
learning_vid	5.991296699998202	59.99380160000874					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
instructions	82.3473095000081	5.985421899997192						
control_vid	88.33273140000529	60.00180130000808					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_3_Alternate_A_000_same.mp4
response	148.33453270001337	9.998786199983414	1.0528893999871798	same	same	True		
instructions	173.3503765000205	5.990706099983072						
learning_vid	179.34108260000357	59.995199400000274					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
instructions	255.72565239999676	5.99044950000831						
control_vid	261.71610190000507	59.98623880001827					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_2_Alternate_B_000_same.mp4
response	321.70234070002334	10.013861599989525	1.21934919999336	same	same	True		
instructions	346.70157299999846	5.981716900016238						
learning_vid	352.6832899000147	60.008913400000836					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
